ID,Title,Compilable,Pass,Total Duration (s),Runtime (ms),Code BLEU,CodeBERT F1,Error
s1802_maximum_value_at_a_given_index_in_a_bounded_array,Maximum Value at a Given Index in a Bounded Array,No,No,21.61,0.0,0.3931,0.8518,
s1884_egg_drop_with_2_eggs_and_n_floors,Egg Drop With 2 Eggs and N Floors,Yes,No,21.26,43.0,0.7101,0.9104,
s1881_maximum_value_after_insertion,Maximum Value after Insertion,Yes,Yes,16.6,46.0,0.4935,0.9151,
s1835_find_xor_sum_of_all_pairs_bitwise_and,Find XOR Sum of All Pairs Bitwise AND,Yes,Yes,12.54,37.0,0.5468,0.9499,
s1879_minimum_xor_sum_of_two_arrays,Minimum XOR Sum of Two Arrays,Yes,No,19.46,43.0,0.3788,0.8084,
s1878_get_biggest_three_rhombus_sums_in_a_grid,Get Biggest Three Rhombus Sums in a Grid,Yes,No,14.72,52.0,0.2251,0.7948,
s1834_single_threaded_cpu,Single-Threaded CPU,No,No,12.34,0.0,0.5792,0.8449,
s1883_minimum_skips_to_arrive_at_meeting_on_time,Minimum Skips to Arrive at Meeting On Time,No,No,23.3,0.0,0.4406,0.8667,
s1899_merge_triplets_to_form_target_triplet,Merge Triplets to Form Target Triplet,Yes,Yes,17.3,37.0,0.495,0.8973,
s1803_count_pairs_with_xor_in_a_range,Count Pairs With XOR in a Range,Yes,Yes,12.0,36.0,0.183,0.8113,
s1889_minimum_space_wasted_from_packaging,Minimum Space Wasted From Packaging,Yes,Yes,17.7,39.0,0.1961,0.7817,
