ID,Title,N_Samples,Pass_At_1_Attempt,Num_Passed,Compilable_Count,Compilable_Rate,First_Pass_Attempt,Avg_Code_BLEU,Avg_CodeBERT_F1,First_Pass_Code_BLEU,First_Pass_CodeBERT_F1
s0817_linked_list_components,Linked List Components,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0877_stone_game,Stone Game,5,1,5,1,1.0000,0,0.3936,0.6831,0.3936,0.6831
s0898_bitwise_ors_of_subarrays,Bitwise ORs of Subarrays,5,1,5,1,1.0000,0,0.3669,0.8130,0.3669,0.8130
s0872_leaf_similar_trees,Leaf-Similar Trees,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0871_minimum_number_of_refueling_stops,Minimum Number of Refueling Stops,5,1,5,1,1.0000,0,0.4086,0.7750,0.4086,0.7750
s0881_boats_to_save_people,Boats to Save People,5,1,5,1,1.0000,0,0.5459,0.8700,0.5459,0.8700
s0886_possible_bipartition,Possible Bipartition,5,1,5,1,1.0000,0,0.3221,0.7768,0.3221,0.7768
s0829_consecutive_numbers_sum,Consecutive Numbers Sum,5,1,5,1,1.0000,0,0.3117,0.7780,0.3117,0.7780
s0883_projection_area_of_3d_shapes,Projection Area of 3D Shapes,5,1,5,1,1.0000,0,0.4402,0.8078,0.4402,0.8078
s0826_most_profit_assigning_work,Most Profit Assigning Work,5,1,5,1,1.0000,0,0.4534,0.7728,0.4534,0.7728
s0807_max_increase_to_keep_city_skyline,Max Increase to Keep City Skyline,5,1,5,1,1.0000,0,0.2948,0.7967,0.2948,0.7967
s0860_lemonade_change,Lemonade Change,5,1,5,1,1.0000,0,0.7510,0.8371,0.7510,0.8371
s0897_increasing_order_search_tree,Increasing Order Search Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0824_goat_latin,Goat Latin,5,1,5,1,1.0000,0,0.3439,0.8079,0.3439,0.8079
s0869_reordered_power_of_2,Reordered Power of 2,5,1,5,1,1.0000,0,0.1807,0.7481,0.1807,0.7481
s0899_orderly_queue,Orderly Queue,5,1,5,1,1.0000,0,0.3310,0.8105,0.3310,0.8105
s0812_largest_triangle_area,Largest Triangle Area,5,1,5,1,1.0000,0,0.4256,0.8414,0.4256,0.8414
s0852_peak_index_in_a_mountain_array,Peak Index in a Mountain Array,5,1,5,1,1.0000,0,0.4893,0.8148,0.4893,0.8148
s0809_expressive_words,Expressive Words,5,1,5,1,1.0000,0,0.3997,0.8031,0.3997,0.8031
s0866_prime_palindrome,Prime Palindrome,5,1,5,1,1.0000,0,0.2748,0.7780,0.2748,0.7780
s0854_k_similar_strings,K-Similar Strings,5,1,5,1,1.0000,0,0.3422,0.7799,0.3422,0.7799
s0801_minimum_swaps_to_make_sequences_increasing,Minimum Swaps To Make Sequences Increasing,5,1,5,1,1.0000,0,0.4726,0.8120,0.4726,0.8120
s0876_middle_of_the_linked_list,Middle of the Linked List,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0848_shifting_letters,Shifting Letters,5,1,5,1,1.0000,0,0.3990,0.8353,0.3990,0.8353
s0839_similar_string_groups,Similar String Groups,5,1,5,1,1.0000,0,0.3361,0.7910,0.3361,0.7910
s0875_koko_eating_bananas,Koko Eating Bananas,5,1,5,1,1.0000,0,0.3624,0.7910,0.3624,0.7910
s0828_count_unique_characters_of_all_substrings_of_a_given_string,Count Unique Characters of All Substrings of a Given String,5,1,5,1,1.0000,0,0.2527,0.7836,0.2527,0.7836
s0893_groups_of_special_equivalent_strings,Groups of Special-Equivalent Strings,5,1,5,1,1.0000,0,0.3253,0.7759,0.3253,0.7759
s0861_score_after_flipping_matrix,Score After Flipping Matrix,5,1,4,1,1.0000,0,0.4636,0.7995,0.4636,0.7995
s0811_subdomain_visit_count,Subdomain Visit Count,5,1,4,1,1.0000,0,0.3440,0.8040,0.3440,0.8040
s0834_sum_of_distances_in_tree,Sum of Distances in Tree,5,1,5,1,1.0000,0,0.3750,0.7952,0.3750,0.7952
s0850_rectangle_area_ii,Rectangle Area II,5,1,5,1,1.0000,0,0.2621,0.7577,0.2621,0.7577
s0804_unique_morse_code_words,Unique Morse Code Words,5,1,5,1,1.0000,0,0.6496,0.8546,0.6496,0.8546
s0863_all_nodes_distance_k_in_binary_tree,All Nodes Distance K in Binary Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0830_positions_of_large_groups,Positions of Large Groups,5,1,5,1,1.0000,0,0.4550,0.8588,0.4550,0.8588
s0859_buddy_strings,Buddy Strings,5,1,5,1,1.0000,0,0.3785,0.7835,0.3785,0.7835
s0835_image_overlap,Image Overlap,5,1,5,1,1.0000,0,0.2666,0.7737,0.2666,0.7737
s0870_advantage_shuffle,Advantage Shuffle,5,1,5,1,1.0000,0,0.2409,0.7744,0.2409,0.7744
s0814_binary_tree_pruning,Binary Tree Pruning,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2381_shifting_letters_ii,Shifting Letters II,5,1,5,1,1.0000,0,0.3376,0.8280,0.3376,0.8280
s2318_number_of_distinct_roll_sequences,Number of Distinct Roll Sequences,5,1,5,1,1.0000,0,0.2880,0.7474,0.2880,0.7474
s2400_number_of_ways_to_reach_a_position_after_exactly_k_steps,Number of Ways to Reach a Position After Exactly k Steps,5,1,5,1,1.0000,0,0.3738,0.7953,0.3738,0.7953
s2315_count_asterisks,Count Asterisks,5,1,5,1,1.0000,0,0.4151,0.8155,0.4151,0.8155
s2354_number_of_excellent_pairs,Number of Excellent Pairs,5,1,5,1,1.0000,0,0.4503,0.8290,0.4503,0.8290
s2365_task_scheduler_ii,Task Scheduler II,5,1,5,1,1.0000,0,0.3795,0.7958,0.3795,0.7958
s2304_minimum_path_cost_in_a_grid,Minimum Path Cost in a Grid,5,1,5,1,1.0000,0,0.4946,0.8297,0.4946,0.8297
s2364_count_number_of_bad_pairs,Count Number of Bad Pairs,5,1,5,1,1.0000,0,0.3898,0.8259,0.3898,0.8259
s2342_max_sum_of_a_pair_with_equal_sum_of_digits,Max Sum of a Pair With Equal Sum of Digits,5,1,5,1,1.0000,0,0.4435,0.7895,0.4435,0.7895
s2385_amount_of_time_for_binary_tree_to_be_infected,Amount of Time for Binary Tree to Be Infected,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2352_equal_row_and_column_pairs,Equal Row and Column Pairs,5,1,5,1,1.0000,0,0.5333,0.8109,0.5333,0.8109
s2316_count_unreachable_pairs_of_nodes_in_an_undirected_graph,Count Unreachable Pairs of Nodes in an Undirected Graph,5,1,5,1,1.0000,0,0.3799,0.7870,0.3799,0.7870
s2398_maximum_number_of_robots_within_budget,Maximum Number of Robots Within Budget,5,1,5,1,1.0000,0,0.2884,0.7699,0.2884,0.7699
s2359_find_closest_node_to_given_two_nodes,Find Closest Node to Given Two Nodes,5,1,5,1,1.0000,0,0.4700,0.8457,0.4700,0.8457
s2301_match_substring_after_replacement,Match Substring After Replacement,5,1,4,1,1.0000,0,0.2802,0.7725,0.2802,0.7725
s2350_shortest_impossible_sequence_of_rolls,Shortest Impossible Sequence of Rolls,5,1,3,1,1.0000,0,0.2835,0.7172,0.2835,0.7172
s2337_move_pieces_to_obtain_a_string,Move Pieces to Obtain a String,5,1,5,1,1.0000,0,0.3601,0.8026,0.3601,0.8026
s2327_number_of_people_aware_of_a_secret,Number of People Aware of a Secret,5,0,3,1,1.0000,1,0.2412,0.7824,0.2412,0.7824
s2383_minimum_hours_of_training_to_win_a_competition,Minimum Hours of Training to Win a Competition,5,1,5,1,1.0000,0,0.3261,0.8310,0.3261,0.8310
s2366_minimum_replacements_to_sort_the_array,Minimum Replacements to Sort the Array,5,1,5,1,1.0000,0,0.3339,0.8244,0.3339,0.8244
s2321_maximum_score_of_spliced_array,Maximum Score Of Spliced Array,5,1,5,1,1.0000,0,0.2752,0.7966,0.2752,0.7966
s2326_spiral_matrix_iv,Spiral Matrix IV,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2305_fair_distribution_of_cookies,Fair Distribution of Cookies,5,1,5,1,1.0000,0,0.3968,0.7799,0.3968,0.7799
s2391_minimum_amount_of_time_to_collect_garbage,Minimum Amount of Time to Collect Garbage,5,1,5,1,1.0000,0,0.3308,0.7747,0.3308,0.7747
s2399_check_distances_between_same_letters,Check Distances Between Same Letters,5,1,5,1,1.0000,0,0.4234,0.8142,0.4234,0.8142
s2334_subarray_with_elements_greater_than_varying_threshold,Subarray With Elements Greater Than Varying Threshold,5,1,3,1,1.0000,0,0.3894,0.7832,0.3894,0.7832
s2380_time_needed_to_rearrange_a_binary_string,Time Needed to Rearrange a Binary String,5,1,5,1,1.0000,0,0.2586,0.7429,0.2586,0.7429
s2396_strictly_palindromic_number,Strictly Palindromic Number,5,1,5,1,1.0000,0,0.3616,0.7066,0.3616,0.7066
s2367_number_of_arithmetic_triplets,Number of Arithmetic Triplets,5,1,5,1,1.0000,0,0.7114,0.8619,0.7114,0.8619
s2348_number_of_zero_filled_subarrays,Number of Zero-Filled Subarrays,5,1,5,1,1.0000,0,0.5328,0.7816,0.5328,0.7816
s2328_number_of_increasing_paths_in_a_grid,Number of Increasing Paths in a Grid,5,1,5,1,1.0000,0,0.2579,0.7769,0.2579,0.7769
s2376_count_special_integers,Count Special Integers,5,1,5,1,1.0000,0,0.2938,0.7882,0.2938,0.7882
s2374_node_with_highest_edge_score,Node With Highest Edge Score,5,1,5,1,1.0000,0,0.4505,0.8304,0.4505,0.8304
s2386_find_the_k_sum_of_an_array,Find the K-Sum of an Array,5,1,4,1,1.0000,0,0.1534,0.7304,0.1534,0.7304
s2395_find_subarrays_with_equal_sum,Find Subarrays With Equal Sum,5,1,5,1,1.0000,0,0.5761,0.8573,0.5761,0.8573
s2357_make_array_zero_by_subtracting_equal_amounts,Make Array Zero by Subtracting Equal Amounts,5,1,5,1,1.0000,0,0.7441,0.8426,0.7441,0.8426
s2306_naming_a_company,Naming a Company,5,1,4,1,1.0000,0,0.3343,0.8023,0.3343,0.8023
s2302_count_subarrays_with_score_less_than_k,Count Subarrays With Score Less Than K,5,1,5,1,1.0000,0,0.3477,0.7609,0.3477,0.7609
s2344_minimum_deletions_to_make_array_divisible,Minimum Deletions to Make Array Divisible,5,1,5,1,1.0000,0,0.4550,0.8122,0.4550,0.8122
s2322_minimum_score_after_removals_on_a_tree,Minimum Score After Removals on a Tree,5,1,4,1,1.0000,0,0.3096,0.7708,0.3096,0.7708
s2384_largest_palindromic_number,Largest Palindromic Number,5,1,2,1,1.0000,0,0.3323,0.8013,0.3323,0.8013
s2382_maximum_segment_sum_after_removals,Maximum Segment Sum After Removals,5,1,5,1,1.0000,0,0.3907,0.8377,0.3907,0.8377
s2335_minimum_amount_of_time_to_fill_cups,Minimum Amount of Time to Fill Cups,5,1,5,1,1.0000,0,0.5677,0.8241,0.5677,0.8241
s2370_longest_ideal_subsequence,Longest Ideal Subsequence,5,1,5,1,1.0000,0,0.3310,0.7988,0.3310,0.7988
s2369_check_if_there_is_a_valid_partition_for_the_array,Check if There is a Valid Partition For The Array,5,1,5,1,1.0000,0,0.2634,0.7897,0.2634,0.7897
s2358_maximum_number_of_groups_entering_a_competition,Maximum Number of Groups Entering a Competition,5,0,3,1,1.0000,1,0.3501,0.6913,0.3501,0.6913
s2338_count_the_number_of_ideal_arrays,Count the Number of Ideal Arrays,5,1,4,1,1.0000,0,0.3527,0.8037,0.3527,0.8037
s2325_decode_the_message,Decode the Message,5,1,5,1,1.0000,0,0.3992,0.8244,0.3992,0.8244
s2309_greatest_english_letter_in_upper_and_lower_case,Greatest English Letter in Upper and Lower Case,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2351_first_letter_to_appear_twice,First Letter to Appear Twice,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2347_best_poker_hand,Best Poker Hand,5,1,5,1,1.0000,0,0.3121,0.7869,0.3121,0.7869
s2360_longest_cycle_in_a_graph,Longest Cycle in a Graph,5,1,5,1,1.0000,0,0.3073,0.7552,0.3073,0.7552
s2331_evaluate_boolean_binary_tree,Evaluate Boolean Binary Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2390_removing_stars_from_a_string,Removing Stars From a String,5,1,5,1,1.0000,0,0.3556,0.8117,0.3556,0.8117
s2303_calculate_amount_paid_in_taxes,Calculate Amount Paid in Taxes,5,1,5,1,1.0000,0,0.3988,0.7718,0.3988,0.7718
s2319_check_if_matrix_is_x_matrix,Check if Matrix Is X-Matrix,5,1,5,1,1.0000,0,0.6236,0.8500,0.6236,0.8500
s2333_minimum_sum_of_squared_difference,Minimum Sum of Squared Difference,5,1,4,1,1.0000,0,0.3124,0.7718,0.3124,0.7718
s2363_merge_similar_items,Merge Similar Items,5,1,5,1,1.0000,0,0.4360,0.8135,0.4360,0.8135
s2397_maximum_rows_covered_by_columns,Maximum Rows Covered by Columns,5,1,4,1,1.0000,0,0.3030,0.7581,0.3030,0.7581
s2379_minimum_recolors_to_get_k_consecutive_black_blocks,Minimum Recolors to Get K Consecutive Black Blocks,5,1,5,1,1.0000,0,0.6313,0.8213,0.6313,0.8213
s2312_selling_pieces_of_wood,Selling Pieces of Wood,5,1,5,1,1.0000,0,0.3609,0.8152,0.3609,0.8152
s2392_build_a_matrix_with_conditions,Build a Matrix With Conditions,5,1,5,1,1.0000,0,0.3640,0.8123,0.3640,0.8123
s2317_maximum_xor_after_operations,Maximum XOR After Operations,5,1,5,1,1.0000,0,0.7098,0.8429,0.7098,0.8429
s2373_largest_local_values_in_a_matrix,Largest Local Values in a Matrix,5,1,5,1,1.0000,0,0.4575,0.8574,0.4575,0.8574
s2341_maximum_number_of_pairs_in_array,Maximum Number of Pairs in Array,5,1,5,1,1.0000,0,0.2703,0.7731,0.2703,0.7731
s2310_sum_of_numbers_with_units_digit_k,Sum of Numbers With Units Digit K,5,1,5,1,1.0000,0,0.4585,0.7713,0.4585,0.7713
s2375_construct_smallest_number_from_di_string,Construct Smallest Number From DI String,5,1,5,1,1.0000,0,0.3274,0.7823,0.3274,0.7823
s2343_query_kth_smallest_trimmed_number,Query Kth Smallest Trimmed Number,5,1,5,1,1.0000,0,0.2692,0.7749,0.2692,0.7749
s2320_count_number_of_ways_to_place_houses,Count Number of Ways to Place Houses,5,1,5,1,1.0000,0,0.2744,0.7270,0.2744,0.7270
s2368_reachable_nodes_with_restrictions,Reachable Nodes With Restrictions,5,1,5,1,1.0000,0,0.6214,0.8398,0.6214,0.8398
s2389_longest_subsequence_with_limited_sum,Longest Subsequence With Limited Sum,5,1,5,1,1.0000,0,0.3969,0.8022,0.3969,0.8022
s2332_the_latest_time_to_catch_a_bus,The Latest Time to Catch a Bus,5,1,5,1,1.0000,0,0.2885,0.7717,0.2885,0.7717
s2442_count_number_of_distinct_integers_after_reverse_operations,Count Number of Distinct Integers After Reverse Operations,5,1,5,1,1.0000,0,0.6399,0.8688,0.6399,0.8688
s2311_longest_binary_subsequence_less_than_or_equal_to_k,Longest Binary Subsequence Less Than or Equal to K,5,0,4,1,1.0000,1,0.3847,0.7690,0.3847,0.7690
s2488_count_subarrays_with_median_k,Count Subarrays With Median K,5,1,4,1,1.0000,0,0.4197,0.8171,0.4197,0.8171
s2415_reverse_odd_levels_of_binary_tree,Reverse Odd Levels of Binary Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2500_delete_greatest_value_in_each_row,Delete Greatest Value in Each Row,5,1,5,1,1.0000,0,0.4259,0.8028,0.4259,0.8028
s2432_the_employee_that_worked_on_the_longest_task,The Employee That Worked on the Longest Task,5,1,5,1,1.0000,0,0.2261,0.7746,0.2261,0.7746
s2490_circular_sentence,Circular Sentence,5,1,5,1,1.0000,0,0.3322,0.8189,0.3322,0.8189
s2419_longest_subarray_with_maximum_bitwise_and,Longest Subarray With Maximum Bitwise AND,5,1,5,1,1.0000,0,0.3166,0.7944,0.3166,0.7944
s2482_difference_between_ones_and_zeros_in_row_and_column,Difference Between Ones and Zeros in Row and Column,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2405_optimal_partition_of_string,Optimal Partition of String,5,1,5,1,1.0000,0,0.4454,0.7897,0.4454,0.7897
s2475_number_of_unequal_triplets_in_array,Number of Unequal Triplets in Array,5,1,5,1,1.0000,0,0.2705,0.7551,0.2705,0.7551
s2426_number_of_pairs_satisfying_inequality,Number of Pairs Satisfying Inequality,5,1,4,1,1.0000,0,0.3498,0.7826,0.3498,0.7826
s2447_number_of_subarrays_with_gcd_equal_to_k,Number of Subarrays With GCD Equal to K,5,1,3,1,1.0000,0,0.3283,0.7361,0.3283,0.7361
s2413_smallest_even_multiple,Smallest Even Multiple,5,1,5,1,1.0000,0,0.6391,0.8491,0.6391,0.8491
s2428_maximum_sum_of_an_hourglass,Maximum Sum of an Hourglass,5,1,5,1,1.0000,0,0.3322,0.7926,0.3322,0.7926
s2449_minimum_number_of_operations_to_make_arrays_similar,Minimum Number of Operations to Make Arrays Similar,5,1,4,1,1.0000,0,0.3232,0.8156,0.3232,0.8156
s2451_odd_string_difference,Odd String Difference,5,1,5,1,1.0000,0,0.2902,0.7583,0.2902,0.7583
s2463_minimum_total_distance_traveled,Minimum Total Distance Traveled,5,1,5,1,1.0000,0,0.2263,0.7846,0.2263,0.7846
s2446_determine_if_two_events_have_conflict,Determine if Two Events Have Conflict,5,1,5,1,1.0000,0,0.2997,0.7947,0.2997,0.7947
s2458_height_of_binary_tree_after_subtree_removal_queries,Height of Binary Tree After Subtree Removal Queries,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2406_divide_intervals_into_minimum_number_of_groups,Divide Intervals Into Minimum Number of Groups,5,1,5,1,1.0000,0,0.2561,0.7512,0.2561,0.7512
s2460_apply_operations_to_an_array,Apply Operations to an Array,5,1,5,1,1.0000,0,0.4481,0.8501,0.4481,0.8501
s2409_count_days_spent_together,Count Days Spent Together,5,0,1,0,0.0000,3,0.2812,0.7790,0.2812,0.7790
s2430_maximum_deletions_on_a_string,Maximum Deletions on a String,5,1,5,1,1.0000,0,0.2458,0.7810,0.2458,0.7810
s2476_closest_nodes_queries_in_a_binary_search_tree,Closest Nodes Queries in a Binary Search Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2411_smallest_subarrays_with_maximum_bitwise_or,Smallest Subarrays With Maximum Bitwise OR,5,1,5,1,1.0000,0,0.3983,0.7915,0.3983,0.7915
s2486_append_characters_to_string_to_make_subsequence,Append Characters to String to Make Subsequence,5,1,5,1,1.0000,0,0.3486,0.7842,0.3486,0.7842
s2462_total_cost_to_hire_k_workers,Total Cost to Hire K Workers,5,1,5,1,1.0000,0,0.2871,0.8148,0.2871,0.8148
s2492_minimum_score_of_a_path_between_two_cities,Minimum Score of a Path Between Two Cities,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2416_sum_of_prefix_scores_of_strings,Sum of Prefix Scores of Strings,5,1,5,1,1.0000,0,0.4185,0.8033,0.4185,0.8033
s2456_most_popular_video_creator,Most Popular Video Creator,5,1,5,1,1.0000,0,0.4816,0.8220,0.4816,0.8220
s2453_destroy_sequential_targets,Destroy Sequential Targets,5,1,5,1,1.0000,0,0.4194,0.8148,0.4194,0.8148
s2401_longest_nice_subarray,Longest Nice Subarray,5,1,2,1,1.0000,0,0.3517,0.7858,0.3517,0.7858
s2477_minimum_fuel_cost_to_report_to_the_capital,Minimum Fuel Cost to Report to the Capital,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2425_bitwise_xor_of_all_pairings,Bitwise XOR of All Pairings,5,1,5,1,1.0000,0,0.4928,0.8454,0.4928,0.8454
s2410_maximum_matching_of_players_with_trainers,Maximum Matching of Players With Trainers,5,1,5,1,1.0000,0,0.4612,0.8254,0.4612,0.8254
s2497_maximum_star_sum_of_a_graph,Maximum Star Sum of a Graph,5,1,5,1,1.0000,0,0.3786,0.7659,0.3786,0.7659
s2471_minimum_number_of_operations_to_sort_a_binary_tree_by_level,Minimum Number of Operations to Sort a Binary Tree by Level,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2435_paths_in_matrix_whose_sum_is_divisible_by_k,Paths in Matrix Whose Sum Is Divisible by K,5,1,4,1,1.0000,0,0.3293,0.7937,0.3293,0.7937
s2418_sort_the_people,Sort the People,5,1,5,1,1.0000,0,0.2243,0.7278,0.2243,0.7278
s2498_frog_jump_ii,Frog Jump II,5,1,5,1,1.0000,0,0.5781,0.8661,0.5781,0.8661
s2481_minimum_cuts_to_divide_a_circle,Minimum Cuts to Divide a Circle,5,0,1,1,1.0000,1,0.6640,0.8759,0.6640,0.8759
s2420_find_all_good_indices,Find All Good Indices,5,1,4,1,1.0000,0,0.4996,0.8186,0.4996,0.8186
s2414_length_of_the_longest_alphabetical_continuous_substring,Length of the Longest Alphabetical Continuous Substring,5,1,5,1,1.0000,0,0.3814,0.8460,0.3814,0.8460
s2469_convert_the_temperature,Convert the Temperature,5,1,5,1,1.0000,0,0.5706,0.8731,0.5706,0.8731
s2485_find_the_pivot_integer,Find the Pivot Integer,5,1,5,1,1.0000,0,0.2391,0.7546,0.2391,0.7546
s2437_number_of_valid_clock_times,Number of Valid Clock Times,5,1,5,1,1.0000,0,0.2347,0.7740,0.2347,0.7740
s2467_most_profitable_path_in_a_tree,Most Profitable Path in a Tree,5,1,4,1,1.0000,0,0.3275,0.8004,0.3275,0.8004
s2478_number_of_beautiful_partitions,Number of Beautiful Partitions,5,1,5,1,1.0000,0,0.2487,0.7862,0.2487,0.7862
s2472_maximum_number_of_non_overlapping_palindrome_substrings,Maximum Number of Non-overlapping Palindrome Substrings,5,1,4,1,1.0000,0,0.2999,0.7952,0.2999,0.7952
s2491_divide_players_into_teams_of_equal_skill,Divide Players Into Teams of Equal Skill,5,1,5,1,1.0000,0,0.4148,0.8286,0.4148,0.8286
s2448_minimum_cost_to_make_array_equal,Minimum Cost to Make Array Equal,5,1,5,1,1.0000,0,0.3352,0.8033,0.3352,0.8033
s2440_create_components_with_same_value,Create Components With Same Value,5,1,5,1,1.0000,0,0.4409,0.8072,0.4409,0.8072
s2483_minimum_penalty_for_a_shop,Minimum Penalty for a Shop,5,1,5,1,1.0000,0,0.3303,0.7808,0.3303,0.7808
s2465_number_of_distinct_averages,Number of Distinct Averages,5,1,5,1,1.0000,0,0.6648,0.8577,0.6648,0.8577
s2457_minimum_addition_to_make_integer_beautiful,Minimum Addition to Make Integer Beautiful,5,1,5,1,1.0000,0,0.3821,0.8229,0.3821,0.8229
s2439_minimize_maximum_of_array,Minimize Maximum of Array,5,1,5,1,1.0000,0,0.6303,0.8249,0.6303,0.8249
s2407_longest_increasing_subsequence_ii,Longest Increasing Subsequence II,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2421_number_of_good_paths,Number of Good Paths,5,1,5,1,1.0000,0,0.3884,0.8079,0.3884,0.8079
s2429_minimize_xor,Minimize XOR,5,1,5,1,1.0000,0,0.3787,0.8113,0.3787,0.8113
s2496_maximum_value_of_a_string_in_an_array,Maximum Value of a String in an Array,5,1,5,1,1.0000,0,0.4385,0.7639,0.4385,0.7639
s2454_next_greater_element_iv,Next Greater Element IV,5,1,5,1,1.0000,0,0.5777,0.8290,0.5777,0.8290
s2493_divide_nodes_into_the_maximum_number_of_groups,Divide Nodes Into the Maximum Number of Groups,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2402_meeting_rooms_iii,Meeting Rooms III,5,1,5,1,1.0000,0,0.3993,0.7844,0.3993,0.7844
s2444_count_subarrays_with_fixed_bounds,Count Subarrays With Fixed Bounds,5,1,5,1,1.0000,0,0.2633,0.7867,0.2633,0.7867
